channel,time
16,60.156
16,60.164
16,64.063
16,64.065
16,64.074
16,67.56
16,67.564
16,67.571
16,71.198
16,71.2
16,71.209
16,71.21
16,75.094
16,75.098
16,75.103
16,78.67
16,78.671
16,78.682
16,81.963
16,81.964
16,81.966
16,81.974
16,81.976
16,84.97
16,84.972
16,84.982
16,88.075
16,88.076
16,88.086
16,91.565
16,91.575
16,94.964
16,94.965
16,94.967
16,94.976
16,97.799
16,97.806
16,97.815
16,97.817
16,97.826
16,100.63
16,100.63
16,100.64
16,104.05
16,104.05
16,104.05
16,104.06
16,107.24
16,107.25
16,107.26
16,107.26
16,110.76
16,110.77
16,110.78
16,111.26
16,111.26
16,111.28
16,111.86
16,111.88
16,117.27
16,117.28
16,117.28
16,117.28
16,117.29
16,121.71
16,121.72
16,121.72
16,125.51
16,125.52
16,125.52
16,125.52
16,129.37
16,129.37
16,129.38
16,133.01
16,133.01
16,133.02
16,133.03
16,136.63
16,136.64
16,136.64
16,139.84
16,139.84
16,139.85
16,139.85
16,143.15
16,143.15
16,143.16
16,143.16
16,146.59
16,146.6
16,146.6
16,149.79
16,149.79
16,149.8
16,152.81
16,152.81
16,152.82
16,155.89
16,155.9
16,155.91
16,158.85
16,158.85
16,158.86
16,161.7
16,161.7
16,161.71
16,164.12
16,164.12
16,164.12
16,164.13
16,167.19
16,167.19
16,167.19
16,170.3
16,170.3
16,170.82
16,170.83
16,170.84
16,170.84
16,171.36
16,171.38
16,171.4
16,176.38
16,176.38
16,176.39
16,176.39
16,180.1
16,180.1
16,180.11
16,180.11
16,183.55
16,183.55
16,183.56
16,187.01
16,187.02
16,187.02
16,191.01
16,191.02
16,191.02
16,191.02
16,191.03
16,194.73
16,194.74
16,194.74
16,194.75
16,198.16
16,198.16
16,198.17
16,198.17
16,201.1
16,201.1
16,201.1
16,201.11
16,204.31
16,204.32
16,204.32
16,204.33
16,207.41
16,207.41
16,210.56
16,210.56
16,210.57
16,213.81
16,213.81
16,213.82
16,216.85
16,216.86
16,219.95
16,219.95
16,219.96
16,223.11
16,223.12
16,223.12
16,223.12
16,226.47
16,226.47
16,226.48
16,226.48
16,229.62
16,229.62
16,229.62
16,229.63
16,232.86
16,232.87
16,232.87
16,232.87
16,232.88
16,236.07
16,236.07
16,236.08
16,236.09
16,239.16
16,239.16
16,239.16
16,239.17
16,239.17
16,239.18
16,241.92
16,241.92
16,241.93
16,241.93
16,244.91
16,244.92
16,244.93
16,247.99
16,247.99
16,248
16,248
16,250.88
16,250.89
16,253.47
16,253.47
16,253.48
16,253.48
16,255.78
16,255.79
16,255.81
16,256.25
16,256.26
16,256.85
16,256.86
16,257.24
16,257.25
16,257.28
16,257.83
16,257.84
16,257.86
16,263.64
16,263.65
16,263.65
16,263.65
16,263.65
16,263.66
16,263.66
16,267.48
16,267.48
16,267.48
16,271.46
16,271.46
16,271.46
16,271.47
16,275.21
16,275.21
16,275.22
16,275.22
16,278.97
16,278.97
16,278.98
16,278.98
16,278.98
16,282.55
16,282.56
16,286.03
16,286.03
16,286.03
16,286.04
16,288.59
16,288.59
16,288.59
16,288.6
16,291.67
16,291.68
16,294.88
16,294.88
16,294.89
16,294.89
16,298.21
16,298.21
16,298.22
16,298.22
17,1.005
17,1.4362
17,8.1298
17,12.412
17,16.462
17,16.473
17,16.806
17,22.799
17,26.825
17,27.31
17,27.913
17,28.827
17,35.535
17,40.304
17,44.702
17,44.715
17,48.911
17,48.921
17,52.683
17,52.694
17,56.415
17,60.152
17,64.064
17,67.554
17,71.195
17,75.088
17,78.667
17,81.957
17,84.968
17,84.977
17,88.07
17,91.552
17,91.563
17,94.963
17,97.8
17,100.62
17,104.05
17,107.24
17,110.76
17,111.26
17,111.87
17,117.27
17,121.71
17,125.5
17,129.36
17,129.38
17,133
17,136.63
17,136.64
17,139.83
17,143.15
17,143.16
17,146.59
17,149.78
17,152.81
17,155.9
17,158.84
17,161.69
17,161.71
17,164.12
17,167.18
17,170.29
17,170.82
17,171.37
17,176.37
17,180.09
17,180.1
17,183.54
17,187.01
17,191.01
17,191.02
17,194.73
17,194.74
17,198.16
17,201.1
17,204.31
17,207.4
17,210.56
17,210.57
17,213.81
17,216.85
17,219.94
17,223.11
17,226.46
17,226.47
17,229.62
17,232.86
17,236.07
17,236.08
17,239.15
17,239.16
17,241.92
17,244.91
17,247.98
17,247.99
17,250.87
17,253.47
17,255.78
17,256.25
17,256.85
17,257.24
17,257.46
17,257.84
17,263.64
17,267.47
17,271.45
17,275.21
17,278.97
17,282.55
17,286.02
17,288.59
17,288.6
17,291.67
17,294.88
17,298.21
17,298.22
18,1.0132
18,35.542
18,44.719
18,52.688
18,56.425
18,60.161
18,64.073
18,71.2
18,75.115
18,91.559
18,97.802
18,100.63
18,104.06
18,107.25
18,121.73
18,125.52
18,133.01
18,136.65
18,139.85
18,143.15
18,146.61
18,158.85
18,161.7
18,161.74
18,164.12
18,164.13
18,167.18
18,167.19
18,167.2
18,170.3
18,176.38
18,176.39
18,180.1
18,183.55
18,183.56
18,194.74
18,198.17
18,198.18
18,201.1
18,204.32
18,204.34
18,207.41
18,207.43
18,210.56
18,210.56
18,210.57
18,219.95
18,219.96
18,219.96
18,219.97
18,219.97
18,223.12
18,226.49
18,229.62
18,232.87
18,232.88
18,232.89
18,236.1
18,239.17
18,241.93
18,241.94
18,244.93
18,244.94
18,244.95
18,247.99
18,248.02
18,253.47
18,253.48
18,255.79
18,255.8
18,256.26
18,263.65
18,263.66
18,271.45
18,271.47
18,275.2
18,275.24
18,278.98
18,278.98
18,282.56
18,286.03
18,288.6
